Date,Open,High,Low,Close,Adj Close,Volume,Nome,Ativo,Date
2018-01-02,13.654706001281738,13.854708671569824,13.581977844238281,13.754708290100098,10.739914894104004,2375751,MRV,MRVE3,2018-01-02
2018-01-03,13.672887802124023,14.063801765441895,13.627432823181152,13.954710006713867,10.896080017089844,2864036,MRV,MRVE3,2018-01-03
2018-01-04,13.954710006713867,14.227439880371094,13.827436447143555,13.863800048828125,10.825094223022461,4107681,MRV,MRVE3,2018-01-04
2018-01-05,13.863800048828125,14.118348121643066,13.791071891784668,14.063801765441895,10.98126220703125,3087773,MRV,MRVE3,2018-01-05
2018-01-08,14.072893142700195,14.109256744384766,13.781981468200684,13.781981468200684,10.761210441589355,4485636,MRV,MRVE3,2018-01-08
2018-01-09,13.800163269042969,13.954710006713867,13.545614242553711,13.863800048828125,10.825094223022461,3600037,MRV,MRVE3,2018-01-09
2018-01-10,13.818345069885254,13.891073226928711,13.727434158325195,13.891073226928711,10.846390724182129,2341652,MRV,MRVE3,2018-01-10
2018-01-11,13.900163650512695,14.209258079528809,13.900163650512695,14.109256744384766,11.016751289367676,6102947,MRV,MRVE3,2018-01-11
2018-01-12,14.08198356628418,14.181984901428223,13.972891807556152,14.08198356628418,10.995457649230957,1479812,MRV,MRVE3,2018-01-12
2018-01-15,14.063801765441895,14.336532592773438,14.063801765441895,14.12743854522705,11.030948638916016,1379273,MRV,MRVE3,2018-01-15
2018-01-16,14.281986236572266,14.300168991088867,14.018346786499023,14.09107494354248,11.002556800842285,2527880,MRV,MRVE3,2018-01-16
2018-01-17,14.318350791931152,14.454715728759766,14.145621299743652,14.318350791931152,11.18001651763916,2399511,MRV,MRVE3,2018-01-17
2018-01-18,14.363805770874023,14.63653564453125,14.09107494354248,14.09107494354248,11.002556800842285,4315688,MRV,MRVE3,2018-01-18
2018-01-19,14.136529922485352,14.345623970031738,14.063801765441895,14.09107494354248,11.002556800842285,2380591,MRV,MRVE3,2018-01-19
2018-01-22,14.172893524169922,14.191076278686523,13.772890090942383,13.863800048828125,10.825094223022461,1444502,MRV,MRVE3,2018-01-22
2018-01-23,13.900163650512695,13.900163650512695,13.50015926361084,13.672887802124023,10.67602825164795,1898247,MRV,MRVE3,2018-01-23
2018-01-24,13.900163650512695,14.09107494354248,13.809253692626953,13.88198184967041,10.8392915725708,3795945,MRV,MRVE3,2018-01-24
